levelId,month,topic,project,order
sexto-egb,Noviembre,Circuito electrónico,Generador aleatorio,3
sexto-egb,Diciembre,Avión DIY,Aerodinámica básica,4
sexto-egb,Enero,Repaso,Mejoras,5
sexto-egb,Febrero,Micrófono,Sensores de sonido,6
sexto-egb,Marzo,Programación básica,Lógica,7
sexto-egb,Abril,Proyecto integrador,Combinación,8
sexto-egb,Mayo,Expo,Demostración,9
septimo-egb,Septiembre,Robot 4 en 1,Configuraciones avanzadas,1
septimo-egb,Octubre,Circuitos,Electrónica intermedia,2
septimo-egb,Noviembre,Avión DIY,Construcción aeronáutica,3
septimo-egb,Diciembre,Proyecto especial,Innovación,4
septimo-egb,Enero,Repaso,Optimización,5
septimo-egb,Febrero,Sensores,Detección y respuesta,6
septimo-egb,Marzo,Programación,Secuencias,7
septimo-egb,Abril,Proyecto final,Integración total,8
septimo-egb,Mayo,Expo,Presentación,9
octavo-egb,Septiembre,ESP32 Introducción,Microcontroladores,1
octavo-egb,Octubre,Carro Bluetooth,Control inalámbrico,2
octavo-egb,Noviembre,Motores y drivers,TB6612FNG,3
octavo-egb,Diciembre,Proyecto IoT básico,Conectividad,4
octavo-egb,Enero,Repaso,Debugging,5
octavo-egb,Febrero,WiFi,Comunicación de red,6
octavo-egb,Marzo,Sensores avanzados,Integración,7
octavo-egb,Abril,Proyecto completo,Robot autónomo,8
octavo-egb,Mayo,Expo,Demostración técnica,9
noveno-egb,Septiembre,Seguidor de línea,Introducción,1
noveno-egb,Octubre,Sensores infrarrojos,Calibración,2
noveno-egb,Noviembre,Algoritmos,Lógica de seguimiento,3
noveno-egb,Diciembre,Competencia,Pista de pruebas,4
noveno-egb,Enero,Optimización,Velocidad y precisión,5
noveno-egb,Febrero,PID básico,Control de motores,6
noveno-egb,Marzo,Programación avanzada,Mejoras de código,7
noveno-egb,Abril,Proyecto final,Robot optimizado,8
noveno-egb,Mayo,Competencia final,Demostración,9
decimo-egb,Septiembre,Robot evita obstáculos,Introducción,1
decimo-egb,Octubre,Sensor ultrasónico,Medición de distancia,2
decimo-egb,Noviembre,Algoritmos de navegación,Toma de decisiones,3
decimo-egb,Diciembre,Proyecto autónomo,Robot inteligente,4
decimo-egb,Enero,Repaso,Mejoras de código,5
decimo-egb,Febrero,Múltiples sensores,Fusión de datos,6
decimo-egb,Marzo,IA básica,Comportamiento adaptativo,7
decimo-egb,Abril,Proyecto completo,Robot autónomo,8
decimo-egb,Mayo,Expo,Demostración final,9
primero-bach,Septiembre,Robot Otto,Introducción,1
primero-bach,Octubre,Servo motores,Control de movimiento,2
primero-bach,Noviembre,Impresión 3D,Personalización,3
primero-bach,Diciembre,Programación Arduino,Código avanzado,4
primero-bach,Enero,Sensores,Ultrasónico y buzzer,5
primero-bach,Febrero,Movimientos,Coreografías,6
primero-bach,Marzo,Personalización,Diseño propio,7
primero-bach,Abril,Proyecto final,Otto personalizado,8
primero-bach,Mayo,Expo,Presentación de robots,9
segundo-bach,Septiembre,Robot Soccer,Introducción,1
segundo-bach,Octubre,Mini Sumo,Estrategias de combate,2
segundo-bach,Noviembre,Programación avanzada,Algoritmos de competencia,3
segundo-bach,Diciembre,Torneos internos,Práctica competitiva,4
segundo-bach,Enero,Optimización,Mejoras mecánicas,5
segundo-bach,Febrero,Estrategias,Tácticas avanzadas,6
segundo-bach,Marzo,Diseño de chassis,Impresión 3D,7
segundo-bach,Abril,Preparación,Competencia final,8
segundo-bach,Mayo,Torneo,Competencia oficial,9
tercero-bach,Septiembre,IoT Introducción,ESP32 y sensores,1
tercero-bach,Octubre,Sensores ambientales,Temperatura y humedad,2
tercero-bach,Noviembre,Conectividad,WiFi y cloud,3
tercero-bach,Diciembre,Domótica básica,Casa inteligente,4
tercero-bach,Enero,Automatización,Relés y actuadores,5
tercero-bach,Febrero,Dashboard,Visualización de datos,6
tercero-bach,Marzo,Proyecto IoT,Sistema completo,7
tercero-bach,Abril,Integración,Proyecto final,8
tercero-bach,Mayo,Expo,Demostración IoT,9
