levelId,moduleName,title,type,duration,order,videoUrl,content,locked,programId,simulatorId
septimo-egb,Vulnerabilidades,CVE y exploits,tutorial,35 min,8,,Base de datos CVE entender reportes.,false,hacking,makecode
septimo-egb,Vulnerabilidades,Reportar vulnerabilidades,activity,30 min,9,,Cómo reportar bugs responsablemente.,false,hacking,makecode
septimo-egb,Proyecto,CTF para principiantes,project,50 min,10,,Resolver retos CTF nivel básico.,false,hacking,makecode
septimo-egb,Proyecto,Competencia CTF,activity,45 min,11,,Mini competencia en clase.,false,hacking,makecode
septimo-egb,Proyecto,Certificado,activity,15 min,12,,Certificado Hacker Ético Junior.,true,hacking,makecode
octavo-egb,Linux Básico,¿Por qué Linux?,video,20 min,1,,Linux en servidores herramientas de seguridad.,false,hacking,wokwi
octavo-egb,Linux Básico,Instalación VM,tutorial,40 min,2,,VirtualBox + Ubuntu/Kali Linux.,false,hacking,wokwi
octavo-egb,Linux Básico,Navegación terminal,tutorial,35 min,3,,cd ls pwd mkdir rm cp mv.,false,hacking,wokwi
octavo-egb,Comandos,Permisos y usuarios,tutorial,40 min,4,,chmod chown sudo usuarios.,false,hacking,wokwi
octavo-egb,Comandos,Procesos y red,tutorial,35 min,5,,ps top netstat ifconfig ping.,false,hacking,wokwi
octavo-egb,Comandos,Scripting bash,tutorial,40 min,6,,Scripts básicos automatización.,false,hacking,wokwi
octavo-egb,Herramientas,Nmap introducción,tutorial,45 min,7,,Escaneo de puertos descubrimiento.,false,hacking,wokwi
octavo-egb,Herramientas,Wireshark básico,tutorial,45 min,8,,Capturar y analizar tráfico.,false,hacking,wokwi
octavo-egb,Herramientas,Práctica de escaneo,activity,40 min,9,,Escanear red local (con permiso).,false,hacking,wokwi
octavo-egb,Proyecto,Laboratorio virtual,project,50 min,10,,Configurar lab de práctica.,false,hacking,wokwi
octavo-egb,Proyecto,Retos de terminal,activity,45 min,11,,OverTheWire Bandit niveles 1-10.,false,hacking,wokwi
octavo-egb,Proyecto,Certificado,activity,15 min,12,,Certificado Linux Security.,true,hacking,wokwi
noveno-egb,Web Basics,Cómo funciona la web,video,25 min,1,,HTTP HTML CSS JavaScript servidores.,false,hacking,wokwi
noveno-egb,Web Basics,Herramientas del navegador,tutorial,35 min,2,,DevTools inspeccionar network console.,false,hacking,wokwi
noveno-egb,Web Basics,Modificar páginas,activity,30 min,3,,Editar HTML/CSS en navegador.,false,hacking,wokwi
noveno-egb,OWASP Top 10,Vulnerabilidades comunes,video,30 min,4,,OWASP Top 10 por qué importa.,false,hacking,wokwi
noveno-egb,OWASP Top 10,XSS (Cross-Site Scripting),tutorial,45 min,5,,Qué es cómo funciona cómo prevenir.,false,hacking,wokwi
noveno-egb,OWASP Top 10,Práctica XSS,activity,40 min,6,,Laboratorio XSS en entorno controlado.,false,hacking,wokwi
noveno-egb,SQL Injection,¿Qué es SQLi?,video,25 min,7,,Bases de datos consultas inyección.,false,hacking,wokwi
noveno-egb,SQL Injection,Práctica SQLi,tutorial,50 min,8,,Laboratorio SQL injection.,false,hacking,wokwi
noveno-egb,SQL Injection,Prevención,tutorial,35 min,9,,Prepared statements sanitización.,false,hacking,wokwi
noveno-egb,Proyecto,DVWA,project,55 min,10,,Damn Vulnerable Web App - retos.,false,hacking,wokwi
noveno-egb,Proyecto,Reporte de seguridad,activity,40 min,11,,Escribir reporte profesional.,false,hacking,wokwi
noveno-egb,Proyecto,Certificado,activity,15 min,12,,Certificado Web Security.,true,hacking,wokwi
decimo-egb,Metodología,Fases del pentesting,video,30 min,1,,Reconocimiento escaneo explotación reporte.,false,hacking,wokwi
decimo-egb,Metodología,Alcance y reglas,video,25 min,2,,Definir scope obtener permisos.,false,hacking,wokwi
decimo-egb,Metodología,Documentación,tutorial,35 min,3,,Tomar notas evidencias screenshots.,false,hacking,wokwi
decimo-egb,Reconocimiento,OSINT avanzado,tutorial,45 min,4,,Maltego theHarvester Shodan.,false,hacking,wokwi
decimo-egb,Reconocimiento,Enumeración,tutorial,45 min,5,,Nmap avanzado enum4linux dirb.,false,hacking,wokwi
decimo-egb,Reconocimiento,Práctica recon,activity,40 min,6,,Reconocimiento de objetivo de práctica.,false,hacking,wokwi
decimo-egb,Explotación,Metasploit intro,tutorial,50 min,7,,Arquitectura módulos payloads.,false,hacking,wokwi
decimo-egb,Explotación,Exploit básico,tutorial,50 min,8,,Explotar vulnerabilidad conocida.,false,hacking,wokwi
decimo-egb,Explotación,Post-explotación,tutorial,45 min,9,,Qué hacer después de acceso.,false,hacking,wokwi
decimo-egb,Proyecto,CTF intermedio,project,60 min,10,,Resolver máquina de HackTheBox/TryHackMe.,false,hacking,wokwi
decimo-egb,Proyecto,Reporte profesional,activity,45 min,11,,Escribir reporte de pentesting.,false,hacking,wokwi
decimo-egb,Proyecto,Certificado,activity,15 min,12,,Certificado Pentester Junior.,true,hacking,wokwi
primero-bach,Redes,Ataques de red,video,30 min,1,,ARP spoofing MITM DNS poisoning.,false,hacking,wokwi
primero-bach,Redes,Práctica MITM,tutorial,55 min,2,,Ettercap Bettercap en lab.,false,hacking,wokwi
primero-bach,Redes,Defensa de red,tutorial,45 min,3,,Detectar y prevenir ataques.,false,hacking,wokwi
primero-bach,Wireless,WiFi hacking,video,30 min,4,,WEP WPA WPA2 handshakes.,false,hacking,wokwi
primero-bach,Wireless,Aircrack-ng,tutorial,55 min,5,,Capturar handshake crackear.,false,hacking,wokwi
primero-bach,Wireless,Seguridad WiFi,tutorial,45 min,6,,Configurar WiFi seguro.,false,hacking,wokwi
primero-bach,Passwords,Cracking de contraseñas,video,25 min,7,,Hashes rainbow tables wordlists.,false,hacking,wokwi
primero-bach,Passwords,John the Ripper,tutorial,50 min,8,,Crackear hashes comunes.,false,hacking,wokwi
primero-bach,Passwords,Hashcat,tutorial,50 min,9,,GPU cracking reglas.,false,hacking,wokwi
primero-bach,Proyecto,Máquina completa,project,70 min,10,,Resolver máquina media de HTB.,false,hacking,wokwi
primero-bach,Proyecto,Writeup técnico,activity,50 min,11,,Documentar proceso completo.,false,hacking,wokwi
primero-bach,Proyecto,Certificado,activity,15 min,12,,Certificado Ethical Hacker.,true,hacking,wokwi
segundo-bach,Social Engineering,Ingeniería social,video,30 min,1,,Phishing pretexting baiting.,false,hacking,colab
segundo-bach,Social Engineering,Crear phishing,tutorial,55 min,2,,GoPhish páginas falsas (lab).,false,hacking,colab
segundo-bach,Social Engineering,Defensa SE,activity,45 min,3,,Entrenar a detectar ataques.,false,hacking,colab
segundo-bach,Privilege Escalation,Linux privesc,tutorial,55 min,4,,Técnicas de escalación en Linux.,false,hacking,colab
segundo-bach,Privilege Escalation,Windows privesc,tutorial,55 min,5,,Técnicas de escalación en Windows.,false,hacking,colab
segundo-bach,Privilege Escalation,Práctica privesc,activity,50 min,6,,Máquinas de práctica.,false,hacking,colab
segundo-bach,Active Directory,AD fundamentals,video,30 min,7,,Dominios usuarios grupos GPOs.,false,hacking,colab
segundo-bach,Active Directory,AD attacks,tutorial,60 min,8,,Kerberoasting Pass-the-Hash.,false,hacking,colab
segundo-bach,Active Directory,AD defense,tutorial,50 min,9,,Hardening de Active Directory.,false,hacking,colab
segundo-bach,Proyecto,Red Team exercise,project,75 min,10,,Ejercicio completo red team.,false,hacking,colab
segundo-bach,Proyecto,Presentación ejecutiva,activity,50 min,11,,Presentar hallazgos a directivos.,false,hacking,colab
segundo-bach,Proyecto,Certificado,activity,15 min,12,,Certificado Red Team Operator.,true,hacking,colab
tercero-bach,Blue Team,SOC operations,video,30 min,1,,Security Operations Center roles.,false,hacking,colab
tercero-bach,Blue Team,SIEM basics,tutorial,55 min,2,,Splunk/ELK análisis de logs.,false,hacking,colab
tercero-bach,Blue Team,Incident response,tutorial,50 min,3,,Proceso de respuesta a incidentes.,false,hacking,colab
tercero-bach,Forensics,Digital forensics,video,30 min,4,,Evidencia digital cadena de custodia.,false,hacking,colab
tercero-bach,Forensics,Análisis de disco,tutorial,55 min,5,,Autopsy recuperar archivos.,false,hacking,colab
tercero-bach,Forensics,Análisis de memoria,tutorial,55 min,6,,Volatility análisis RAM.,false,hacking,colab
tercero-bach,Malware,Análisis de malware,video,30 min,7,,Tipos comportamiento análisis.,false,hacking,colab
tercero-bach,Malware,Análisis estático,tutorial,55 min,8,,Strings PE headers imports.,false,hacking,colab
tercero-bach,Malware,Análisis dinámico,tutorial,55 min,9,,Sandbox comportamiento en VM.,false,hacking,colab
tercero-bach,Capstone,Proyecto final,project,80 min,10,,Investigación de incidente completo.,false,hacking,colab
tercero-bach,Capstone,Reporte forense,activity,55 min,11,,Documentación profesional.,false,hacking,colab
tercero-bach,Capstone,Certificación,activity,20 min,12,,Certificado Cybersecurity Professional.,true,hacking,colab
