levelId,moduleName,title,type,duration,order,videoUrl,content,locked,programId
sexto-egb,Robot 4 en 1: Modo 1,Control por Sonido,activity,40 min,14,,Micrófono electret detecta sonido. 1 palmada=avanza 2=gira 3=detiene. Circuito amplificador.,false,robotica
sexto-egb,Robot 4 en 1: Modo 2,Control Infrarrojo,activity,45 min,15,,Receptor IR y control remoto. Comandos: adelante atrás izquierda derecha stop.,false,robotica
sexto-egb,Robot 4 en 1: Modo 3,Seguidor de Línea,activity,50 min,16,,2 sensores IR parte inferior. Detectan línea negra sobre blanco. Lógica de seguimiento.,false,robotica
sexto-egb,Robot 4 en 1: Modo 4,Evita Obstáculos Táctil,activity,45 min,17,,2 bumpers (switches) adelante. Toca obstáculo → retrocede → gira 90° → continúa.,false,robotica
sexto-egb,Robot 4 en 1: Competencias,Comparación de Modos,activity,40 min,18,,Carrera con cada modo. ¿Cuál más preciso? ¿Más rápido? ¿Más autónomo?,false,robotica
sexto-egb,Robot 4 en 1: Competencias,Competencia Final,project,60 min,19,,Competencia usando los 4 modos. Premiación por categorías. Certificados.,true,robotica
septimo-egb,Kit Extra: Experto,Kit Extra Rápido,activity,30 min,1,,Las 6 prácticas en una semana. Ya dominan componentes. Mayor velocidad y autonomía.,false,robotica
septimo-egb,Kit Extra: Experto,Proyectos Creativos,activity,40 min,2,,Crear proyecto propio innovador. Combinar múltiples componentes. Presentar idea.,false,robotica
septimo-egb,Programación Visual: Intro,Scratch/Blockly Introducción,tutorial,40 min,3,,Programación sin código. Bloques tipo puzzle. Conceptos: secuencias bucles condicionales.,false,robotica
septimo-egb,Programación Visual: Intro,Programa 1: Secuencia,activity,35 min,4,,Crear secuencia simple de movimientos. Entender orden de ejecución.,false,robotica
septimo-egb,Programación Visual: Intro,Programa 2: Bucles,activity,40 min,5,,Usar bloque repetir. Animaciones que se repiten. Eficiencia en código.,false,robotica
septimo-egb,Programación Visual: Intro,Programa 3: Condicionales,activity,45 min,6,,Bloque si-entonces. Reaccionar a eventos. Interactividad.,false,robotica
septimo-egb,Programación Visual: Intro,Programa 4: Variables,activity,40 min,7,,Crear variables. Contador de puntos. Guardar información.,false,robotica
septimo-egb,Carro Robot: Planificación,Robot Multi-Sensor,video,25 min,8,,Robot con 3 sensores: ultrasónico IR bumpers. Todo integrado. Planificación.,false,robotica
septimo-egb,Carro Robot: Construcción,Construcción del Chasis,project,50 min,9,,Chasis grande para sensores. Driver L298N. Conexiones organizadas. Cable management.,false,robotica
septimo-egb,Carro Robot: Construcción,Instalar Sensores,activity,45 min,10,,Montar sensores en posiciones correctas. Verificar conexiones. Probar individualmente.,false,robotica
septimo-egb,Carro Robot: Lógica,Pseudocódigo del Robot,tutorial,35 min,11,,Escribir lógica en papel: SI obstáculo a 20cm ENTONCES detener y girar.,false,robotica
septimo-egb,Carro Robot: Lógica,Diseñar Comportamiento,activity,40 min,12,,Usar bloques de simulador para diseñar comportamiento. Ajustar sensibilidad.,false,robotica
septimo-egb,Carro Robot: Pruebas,Probar Cada Sensor,activity,40 min,13,,Probar ultrasónico solo. Luego IR. Luego bumpers. Verificar funcionamiento.,false,robotica
septimo-egb,Carro Robot: Pruebas,Combinar Sensores,activity,45 min,14,,Todos los sensores juntos. Pista con línea + obstáculos. Ajustar tiempos.,false,robotica
septimo-egb,Robot 4en1 Mejorado: Construcción,Versión Mejorada,project,50 min,15,,Mismos 4 modos que 6° pero mejorados. Sensores más sensibles. Mejor control.,false,robotica
septimo-egb,Robot 4en1 Mejorado: Personalización,Personalizar con Bloques,activity,45 min,16,,Usar bloques para diseñar comportamiento personalizado. Velocidades variables.,false,robotica
septimo-egb,Robot 4en1 Mejorado: Secuencias,Secuencias Complejas,activity,50 min,17,,Programar: avanza → detecta línea → sigue 1m → busca obstáculo → empuja.,false,robotica
septimo-egb,Preparación 8°: Microcontroladores,Introducción a Microcontroladores,video,30 min,18,,¿Qué es microcontrolador? Arduino vs ESP32. Pines digitales vs analógicos.,false,robotica
septimo-egb,Preparación 8°: Microcontroladores,Primer Contacto con Código,tutorial,40 min,19,,Ver código Arduino IDE sin programar. Estructura: setup() loop(). Leer código Blink.,false,robotica
septimo-egb,Preparación 8°: Microcontroladores,Comparar Bloques vs Código,activity,35 min,20,,Mismo programa en Scratch y en Arduino. Entender la equivalencia.,false,robotica
septimo-egb,Competencia: Final,Competencia Multi-Robot,project,60 min,21,,Competencia con robots del año. Diferentes categorías. Premiación final.,true,robotica
